"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13405","Login Functionality","","Sun May 11 10:17:46 IST 2025","passed","Sun May 11 10:18:00 IST 2025","","tests\e2e\end_to_end_order_flow.spec.js","",""
"","8773","Child Widnow Handling","","Sun May 11 10:17:46 IST 2025","passed","Sun May 11 10:17:55 IST 2025","","tests\e2e\dropdown_and_child_window.spec.js","",""
